Data;Descricao;Valor;Categoria;Conta;Responsável
01/07/2026;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/07/2026;Mensal;4.461,93;Salário;Conta Corrente;Paula
15/07/2026;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/07/2026;Quinzena;3.939,48;Salário;Conta Corrente;Paula
01/08/2026;Mensal;3.104,07;Salário;Conta Corrente;Alcides
01/08/2026;Mensal;5.373,16;Salário;Conta Corrente;Paula
15/08/2026;Quinzena;3.212,82;Salário;Conta Corrente;Alcides
15/08/2026;Quinzena;5.433,76;Salário;Conta Corrente;Paula
01/09/2026;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/09/2026;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/09/2026;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/09/2026;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/10/2026;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/10/2026;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/10/2026;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/10/2026;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/11/2026;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/11/2026;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/11/2026;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/11/2026;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/12/2026;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/12/2026;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/12/2026;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/12/2026;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/01/2027;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/01/2027;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/01/2027;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/01/2027;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/02/2027;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/02/2027;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/02/2027;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/02/2027;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/03/2027;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/03/2027;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/03/2027;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/03/2027;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/04/2027;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/04/2027;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/04/2027;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/04/2027;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/05/2027;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/05/2027;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/05/2027;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/05/2027;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/06/2027;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/06/2027;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/06/2027;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/06/2027;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/07/2027;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/07/2027;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/07/2027;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/07/2027;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/08/2027;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/08/2027;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/08/2027;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/08/2027;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/09/2027;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/09/2027;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/09/2027;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/09/2027;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/10/2027;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/10/2027;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/10/2027;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/10/2027;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/11/2027;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/11/2027;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/11/2027;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/11/2027;Quinzena;4.461,93;Salário;Conta Corrente;Paula
01/12/2027;Mensal;3.212,82;Salário;Conta Corrente;Alcides
01/12/2027;Mensal;5.433,76;Salário;Conta Corrente;Alcides
15/12/2027;Quinzena;2.041,57;Salário;Conta Corrente;Alcides
15/12/2027;Quinzena;4.461,93;Salário;Conta Corrente;Paula
