Data;Descricao;Valor;Categoria;Conta;Responsável
01/12/2026;Férias;4.464,67;Férias;Conta Corrente;Alcides
01/12/2026;Férias;6.758,17;Férias;Conta Corrente;Paula
01/11/2026;Primeira parcela;6.800,00;13o Salario;Conta Corrente;Paula
01/12/2026;Segunda parcela;3.280,00;13o Salario;Conta Corrente;Paula
01/11/2026;Primeira parcela;3.348,00;13o Salario;Conta Corrente;Alcides
01/12/2026;Segunda parcela;1.970,00;13o Salario;Conta Corrente;Alcides
01/02/2027;Bônus 1;25.341,47;Bônus;Conta Corrente;Paula
01/04/2027;Bônus 2;54.000,00;Bônus;Conta Corrente;Paula
01/04/2027;Bônus 2;8.000,00;Bônus;Conta Corrente;Alcides
01/09/2026;Saque Aniversário;2100;FGTS;Conta Corrente;Alcides
01/07/2026;Tablet;700,00;Tablet;Conta Corrente;Alcides
01/07/2026;Viagem;600;Viagem;Conta Corrente;Paula
01/08/2026;Viagem;300;Viagem;Conta Corrente;Paula
01/07/2026;Armário;450;Armário;Conta Corrente;Paula
01/08/2026;Armário;225;Armário;Conta Corrente;Paula
01/09/2026;Armário;225;Armário;Conta Corrente;Paula
01/10/2026;Armário;225;Armário;Conta Corrente;Paula
01/11/2026;Armário;225;Armário;Conta Corrente;Paula
01/12/2026;Armário;225;Armário;Conta Corrente;Paula
01/08/2026;Unimed;470;Unimed;Conta Corrente;Paula
01/09/2026;Unimed;470;Unimed;Conta Corrente;Paula
01/10/2026;Unimed;470;Unimed;Conta Corrente;Paula
01/11/2026;Unimed;470;Unimed;Conta Corrente;Paula
01/12/2026;Unimed;470;Unimed;Conta Corrente;Paula
01/01/2027;Unimed;470;Unimed;Conta Corrente;Paula
01/02/2027;Unimed;470;Unimed;Conta Corrente;Paula
01/03/2027;Unimed;470;Unimed;Conta Corrente;Paula
01/04/2027;Unimed;470;Unimed;Conta Corrente;Paula
01/05/2027;Unimed;470;Unimed;Conta Corrente;Paula
01/06/2027;Unimed;470;Unimed;Conta Corrente;Paula
01/07/2027;Unimed;470;Unimed;Conta Corrente;Paula
01/08/2027;Unimed;470;Unimed;Conta Corrente;Paula
01/09/2027;Unimed;470;Unimed;Conta Corrente;Paula
01/10/2027;Unimed;470;Unimed;Conta Corrente;Paula
01/11/2027;Unimed;470;Unimed;Conta Corrente;Paula
01/12/2027;Unimed;470;Unimed;Conta Corrente;Paula
01/07/2026;Viagem;150;Viagem;Conta Corrente;Alcides
01/08/2026;Viagem;150;Viagem;Conta Corrente;Alcides
01/07/2026;Gelágua;100;Gelágua;Conta Corrente;Alcides
01/08/2026;Gelágua;100;Gelágua;Conta Corrente;Alcides
01/09/2026;Gelágua;100;Gelágua;Conta Corrente;Alcides
01/10/2026;Gelágua;100;Gelágua;Conta Corrente;Alcides
01/11/2026;Gelágua;100;Gelágua;Conta Corrente;Alcides
