Data;Descricao;Valor;Categoria;Conta;Responsável
01/08/2026;Nubak;-2211,01;Cartão;Conta Corrente;Casal
01/09/2026;Nubak;-1700;Cartão;Conta Corrente;Casal
01/10/2026;Nubak;-1700;Cartão;Conta Corrente;Casal
01/11/2026;Nubak;-1700;Cartão;Conta Corrente;Casal
01/12/2026;Nubak;-1700;Cartão;Conta Corrente;Casal
01/01/2027;Nubak;-1700;Cartão;Conta Corrente;Casal
01/02/2027;Nubak;-1700;Cartão;Conta Corrente;Casal
01/03/2027;Nubak;-1700;Cartão;Conta Corrente;Casal
01/04/2027;Nubak;-1700;Cartão;Conta Corrente;Casal
01/05/2027;Nubak;-1700;Cartão;Conta Corrente;Casal
01/06/2027;Nubak;-1700;Cartão;Conta Corrente;Casal
01/07/2027;Nubak;-1700;Cartão;Conta Corrente;Casal
01/08/2027;Nubak;-1700;Cartão;Conta Corrente;Casal
01/09/2027;Nubak;-1700;Cartão;Conta Corrente;Casal
01/10/2027;Nubak;-1700;Cartão;Conta Corrente;Casal
01/11/2027;Nubak;-1700;Cartão;Conta Corrente;Casal
01/12/2027;Nubak;-1700;Cartão;Conta Corrente;Casal
01/07/2026;Derê;-400;Saúde;Conta Corrente;Casal
01/08/2026;Derê;-400;Saúde;Conta Corrente;Casal
01/09/2026;Derê;-400;Saúde;Conta Corrente;Casal
01/10/2026;Derê;-400;Saúde;Conta Corrente;Casal
01/11/2026;Derê;-600;Saúde;Conta Corrente;Casal
01/12/2026;Derê;-600;Saúde;Conta Corrente;Casal
01/01/2027;Derê;-600;Saúde;Conta Corrente;Casal
01/02/2027;Derê;-600;Saúde;Conta Corrente;Casal
01/03/2027;Derê;-600;Saúde;Conta Corrente;Casal
01/04/2027;Derê;-600;Saúde;Conta Corrente;Casal
01/05/2027;Derê;-600;Saúde;Conta Corrente;Casal
01/06/2027;Derê;-600;Saúde;Conta Corrente;Casal
01/07/2027;Derê;-600;Saúde;Conta Corrente;Casal
01/08/2027;Derê;-600;Saúde;Conta Corrente;Casal
01/09/2027;Derê;-600;Saúde;Conta Corrente;Casal
01/10/2027;Derê;-600;Saúde;Conta Corrente;Casal
01/11/2027;Derê;-600;Saúde;Conta Corrente;Casal
01/12/2027;Derê;-600;Saúde;Conta Corrente;Casal
