Data;Descricao;Valor;Categoria;Conta;Responsável
25/07/2026;Cartões;-149,21;Santander;Conta Corrente;Alcides
25/08/2026;Cartões;-124,31;Santander;Conta Corrente;Alcides
25/07/2026;Cartões;-1.007,59;NuBank;Conta Corrente;Alcides
25/08/2026;Cartões;-984,81;NuBank;Conta Corrente;Alcides
25/09/2026;Cartões;-934,91;NuBank;Conta Corrente;Alcides
25/10/2026;Cartões;-445,12;NuBank;Conta Corrente;Alcides
25/11/2026;Cartões;-255,12;NuBank;Conta Corrente;Alcides
25/12/2026;Cartões;-71,79;NuBank;Conta Corrente;Alcides
25/01/2027;Cartões;-71,79;NuBank;Conta Corrente;Alcides
25/02/2027;Cartões;-71,79;NuBank;Conta Corrente;Alcides
01/07/2026;Cartões;-311,58;Itaú;Conta Corrente;Paula
01/08/2026;Cartões;-311,58;Itaú;Conta Corrente;Paula
01/09/2026;Cartões;-311,58;Itaú;Conta Corrente;Paula
01/10/2026;Cartões;-311,58;Itaú;Conta Corrente;Paula
01/11/2026;Cartões;-254,93;Itaú;Conta Corrente;Paula
01/12/2026;Cartões;-254,93;Itaú;Conta Corrente;Paula
01/01/2027;Cartões;-184,9;Itaú;Conta Corrente;Paula
01/02/2027;Cartões;-184,9;Itaú;Conta Corrente;Paula
05/08/2026;Cartões;-2023;Santander;Conta Corrente;Paula
05/09/2026;Cartões;-410,09;Santander;Conta Corrente;Paula
05/10/2026;Cartões;-307,48;Santander;Conta Corrente;Paula
05/11/2026;Cartões;-307,48;Santander;Conta Corrente;Paula
05/12/2026;Cartões;-307,48;Santander;Conta Corrente;Paula
05/01/2027;Cartões;-307,48;Santander;Conta Corrente;Paula
05/02/2027;Cartões;-287,48;Santander;Conta Corrente;Paula
05/03/2027;Cartões;-287,48;Santander;Conta Corrente;Paula
05/04/2027;Cartões;-287,48;Santander;Conta Corrente;Paula
05/05/2027;Cartões;-180,9;Santander;Conta Corrente;Paula
05/06/2027;Cartões;-180,9;Santander;Conta Corrente;Paula
01/08/2026;Cartões;-717,55;LATAM;Conta Corrente;Casal
01/09/2026;Cartões;-673,55;LATAM;Conta Corrente;Casal
01/10/2026;Cartões;-573,55;LATAM;Conta Corrente;Casal
01/11/2026;Cartões;-231,48;LATAM;Conta Corrente;Casal
01/12/2026;Cartões;-231,48;LATAM;Conta Corrente;Casal
01/01/2027;Cartões;-231,48;LATAM;Conta Corrente;Casal
01/02/2027;Cartões;-231,48;LATAM;Conta Corrente;Casal
01/03/2027;Cartões;-93,74;LATAM;Conta Corrente;Casal
01/04/2027;Cartões;-93,74;LATAM;Conta Corrente;Casal
13/07/2026;Cartões;-162,81;Riachuelo;Conta Corrente;Alcides
13/08/2026;Cartões;-162,81;Riachuelo;Conta Corrente;Alcides
13/09/2026;Cartões;-113,51;Riachuelo;Conta Corrente;Alcides
13/10/2026;Cartões;-57,51;Riachuelo;Conta Corrente;Alcides
13/11/2026;Cartões;-32,1;Riachuelo;Conta Corrente;Alcides
13/12/2026;Cartões;-32,1;Riachuelo;Conta Corrente;Alcides
01/07/2026;Casa;-1730,45;Aluguel;Conta Corrente;Casal
01/08/2026;Casa;-1730,45;Aluguel;Conta Corrente;Casal
01/09/2026;Casa;-1730,45;Aluguel;Conta Corrente;Casal
01/10/2026;Casa;-1730,45;Aluguel;Conta Corrente;Casal
01/11/2026;Casa;-3995;Aluguel;Conta Corrente;Casal
01/12/2026;Casa;-3995;Aluguel;Conta Corrente;Casal
01/01/2027;Casa;-3995;Aluguel;Conta Corrente;Casal
01/02/2027;Casa;-3995;Aluguel;Conta Corrente;Casal
01/03/2027;Casa;-3995;Aluguel;Conta Corrente;Casal
01/04/2027;Casa;-3995;Aluguel;Conta Corrente;Casal
01/05/2027;Casa;-3995;Aluguel;Conta Corrente;Casal
01/06/2027;Casa;-3995;Aluguel;Conta Corrente;Casal
01/07/2027;Casa;-3995;Aluguel;Conta Corrente;Casal
01/08/2027;Casa;-3995;Aluguel;Conta Corrente;Casal
01/09/2027;Casa;-3995;Aluguel;Conta Corrente;Casal
01/10/2027;Casa;-3995;Aluguel;Conta Corrente;Casal
01/11/2027;Casa;-3995;Aluguel;Conta Corrente;Casal
01/12/2027;Casa;-3995;Aluguel;Conta Corrente;Casal
15/07/2026;Casa;-522,28;Condomínio;Conta Corrente;Casal
15/08/2026;Casa;-630;Condomínio;Conta Corrente;Casal
15/09/2026;Casa;-630;Condomínio;Conta Corrente;Casal
15/10/2026;Casa;-630;Condomínio;Conta Corrente;Casal
15/11/2026;Casa;-450;Condomínio;Conta Corrente;Casal
15/12/2026;Casa;-450;Condomínio;Conta Corrente;Casal
15/01/2027;Casa;-450;Condomínio;Conta Corrente;Casal
15/02/2027;Casa;-450;Condomínio;Conta Corrente;Casal
15/03/2027;Casa;-450;Condomínio;Conta Corrente;Casal
15/04/2027;Casa;-450;Condomínio;Conta Corrente;Casal
15/05/2027;Casa;-450;Condomínio;Conta Corrente;Casal
15/06/2027;Casa;-450;Condomínio;Conta Corrente;Casal
15/07/2027;Casa;-450;Condomínio;Conta Corrente;Casal
15/08/2027;Casa;-450;Condomínio;Conta Corrente;Casal
15/09/2027;Casa;-450;Condomínio;Conta Corrente;Casal
15/10/2027;Casa;-450;Condomínio;Conta Corrente;Casal
15/11/2027;Casa;-450;Condomínio;Conta Corrente;Casal
