Data;Descricao;Valor;Categoria;Conta;Responsável
30/07/2026;Keullyane;-15,5;PIX Diversos;Conta Corrente;Paula
26/07/2026;Corte de Cabelo;-90;Salão;Conta Corrente;Alcides
25/07/2026;LevPizza;-85,51;Lanches;Conta Corrente;Casal
25/07/2026;Shopee;-34,28;PIX Diversos;Conta Corrente;Alcides
20/07/2026;LevPizza;-64,89;Lanches;Conta Corrente;Casal
19/07/2026;LevPizza;-66,39;Lanches;Conta Corrente;Casal
19/07/2026;Dízimo;-5;Dízimo;Conta Corrente;Casal
17/07/2026;Cota Niver;-20;PIX Diversos;Conta Corrente;Casal
17/07/2026;Ruth Batista;-63;PIX Diversos;Conta Corrente;Paula
17/07/2026;Guanabara;-40;Almoço;Conta Corrente;Alcides
16/07/2026;Cota Niver;-20;PIX Diversos;Conta Corrente;Casal
16/07/2026;Refeitório;-15;Almoço;Conta Corrente;Paula
16/07/2026;Shopee;-285,62;PIX Diversos;Conta Corrente;Casal
16/07/2026;Brownie;-16;Doces;Conta Corrente;Casal
